price_date,ticker,last_price
01/03/2017,VIX Index,12.54
28/02/2017,VIX Index,12.92
27/02/2017,VIX Index,12.09
24/02/2017,VIX Index,11.47
23/02/2017,VIX Index,11.71
22/02/2017,VIX Index,11.74
21/02/2017,VIX Index,11.57
20/02/2017,VIX Index,11.53
17/02/2017,VIX Index,11.49
16/02/2017,VIX Index,11.76
15/02/2017,VIX Index,11.97
14/02/2017,VIX Index,10.74
13/02/2017,VIX Index,11.07
10/02/2017,VIX Index,10.85
09/02/2017,VIX Index,10.88
08/02/2017,VIX Index,11.45
07/02/2017,VIX Index,11.29
06/02/2017,VIX Index,11.37
03/02/2017,VIX Index,10.97
02/02/2017,VIX Index,11.93
01/02/2017,VIX Index,11.81
31/01/2017,VIX Index,11.99
30/01/2017,VIX Index,11.88
27/01/2017,VIX Index,10.58
26/01/2017,VIX Index,10.63
25/01/2017,VIX Index,10.81
24/01/2017,VIX Index,11.07
23/01/2017,VIX Index,11.77
20/01/2017,VIX Index,11.54
19/01/2017,VIX Index,12.78
18/01/2017,VIX Index,12.48
17/01/2017,VIX Index,11.87
16/01/2017,VIX Index,11.55
13/01/2017,VIX Index,11.23
12/01/2017,VIX Index,11.54
11/01/2017,VIX Index,11.26
10/01/2017,VIX Index,11.49
09/01/2017,VIX Index,11.56
06/01/2017,VIX Index,11.32
05/01/2017,VIX Index,11.67
04/01/2017,VIX Index,11.85
03/01/2017,VIX Index,12.85
02/01/2017,VIX Index,13.445
30/12/2016,VIX Index,14.04
29/12/2016,VIX Index,13.37
28/12/2016,VIX Index,12.95
27/12/2016,VIX Index,11.99
23/12/2016,VIX Index,11.44
22/12/2016,VIX Index,11.43
21/12/2016,VIX Index,11.27
20/12/2016,VIX Index,11.45
19/12/2016,VIX Index,11.71
16/12/2016,VIX Index,12.2
15/12/2016,VIX Index,12.79
14/12/2016,VIX Index,13.19
13/12/2016,VIX Index,12.72
12/12/2016,VIX Index,12.64
09/12/2016,VIX Index,11.75
08/12/2016,VIX Index,12.64
